"Author-Persons","Title","Place of Publication","Publisher","Date of Publication","ISBN","BL Record ID"
"Abnett, Dan.","The Texas chainsaw massacre.","[London?]","[Titan]","c2007.","9781845766382 (pbk.);1845766385 (pbk.)","013818523"
"Abnett, Dan.","Atavar","Oxford","Rebellion","2004.","190426512X (cased)","013952955"
"Abnett, Dan.","Kingdom.","Oxford","Rebellion","2008.","9781905437894 (pbk.);1905437897 (pbk.)","014778180"
"Abnett, Dan.","Sinister Dexter.","Oxford","Rebellion","2009.","9781905437931 (pbk.);1905437935 (pbk.)","014853211"
"Abnett, Dan.","The V.C.s.","Oxford","Rebellion","2009.","9781905437979 (pbk.);1905437978 (pbk.)","014895003"
"Abnett, Dan.","World's end","London","Titan","2009.","9781848563810 (pbk.);1848563817 (pbk.)","015302988"
"Abnett, Dan.","The Knights of Pendragon.","Tunbridge Wells","Panini","2010.","9781846534317 (pbk.);1846534313 (pbk.)","015308165"
"Abnett, Dan.","Money shots","Oxford","Rebellion","c2009.","9781906735173 (pbk.);1906735174 (pbk.)","015332652"
"Abnett, Dan.","Kingdom.","Oxford","Rebellion","2012.","9781907992988 (pbk.);1907992987 (pbk.)","015979582"
"Abnett, Dan.","Legion lost","London","Titan","2012.","9780857684356 (pbk.);0857684353 (pbk.)","016030706"
"Abnett, Dan.","Darkblade :the graphic novel","Nottingham","Black Library","2011.","9781844168347 (pbk.)","016109142"
"Abnett, Dan.","Terminator 2: judgment day : cybernetic dawn","London","Boxtree","1996.","0752203908 (pbk)","006735615"
"Abnett, Dan.","Scooby Doo & the haunted house.","London","Titan","2004.","1840238321 (pbk)","006946965"
"Abnett, Dan.","Bloodlines","London","Titan","2002.","1840234458 (pbk.);1569717591 (U.S.)","010761736"
"Abnett, Dan.","Tales from the ten-tailed cat","Nottingham","Games Workshop","2002.","1841542377 (pbk.)","010768131"
"Abnett, Dan.","Encounters with the unknown","London","Titan","2002.","1840233206 (pbk)","012286295"
"Abnett, Dan.","Strange attractors","London","Titan","c2006.","1845762495 (Titan : pbk.);9781401209179 (DC Comics : pbk.);1401209173 (DC Comics : pbk.)","013366270"
"Abou Hamad, Nabil.","Face facts","London","Cygnus","1986.","0948811005 (pbk)","008808740"
"Abouet, Marguerite","Aya","London","Jonathan Cape","2007.","9780224081849 (hbk.);0224081845 (hbk.)","013735613"
"Abouet, Marguerite","Aya of Yop City","London","Jonathan Cape","2009.","9780224087476 (hbk.);0224087479 (hbk.)","014765276"
"Abouet, Marguerite","Akissi :cat invasion","London","Flying Eye","[2013]","9781909263017 (hbk.)","016226233"
"Abraham, Daniel","A game of thrones :the graphic novel.","","","","9780007578580 (hbk.)","016611780"
"Abraham, Daniel.","A game of thrones.","London","Harper Voyager","2012.","9780007493043 (hbk.);0007493045 (hbk.)","016121909"
"Aburto, Jesus","Ultimate comics The Ultimates.","","","","9781846535246 (paperback)","016199969"
"Acampora, Michael Vincent","Battle of the Blue Lanterns","London","Raintree","2012.","9781406227192 (hbk.);1406227196 (hbk.);9781406227260 (pbk.);1406227269 (pbk.)","015790149"
"Acevski, Jon.","Prince Frederic","","Warner","1992.","0356201147 (pbk)","011326649"
"Acevski, Jon.","The isle of worms","","Warner","1992.","0356201171 (pbk)","011326652"
"Achdé,","Lucky Luke versus the Pinkertons","Canterbury","Cinebook","2011.","9781849180986 (pbk.);1849180989 (pbk.)","015837719"
"Achdé,","The man from Washington","","","","9781849181495 (pbk.)","016192086"
"Achdé,","Lone riders","","","","9781849181686 (pbk.)","016329423"
"Achdé,","Tying the knot","","","","9781849181884 (pbk.)","016548422"
"Aclin, Justin","Defenders of the lost temple","","","","9781781162811 (paperback : Titan)","016143588"
"Aclin, Justin","The smuggler's code","","","","9781781167557 (pbk.)","016317346"
"Acton, Peter.","Roy of the Rovers :the playing years","Harpenden","Queen Anne Press","1994.","185291548X","012029598"
"Acuña, Daniel,","The wild wests","London","Titan","2008.","9781845768737 (hbk.);1845768736 (hbk.)","014627437"
"Acuña, Daniel,","The Apocalypse Twins","","","","9781846535642 (pbk.)","016490220"
"Acuña, Daniel,","Uncanny Avengers.","","","","9781846535710 (pbk.)","016559739"
"Acuña, Daniel,","Rogue planet","","","","9781846535833 (pbk.)","016612771"
"Adam, Peggy.","Luchadoras","London","Blank Slate","2011.","9781906653125 (pbk.);1906653127 (pbk.)","015734839"
"Adams, Art","Tom Strong's terrific tales.","London","Titan Books","2005.","1845761049 (cased);1401206158 (cased)","013206583"
"Adams, Art","Tom Strong's terrific tales book 1","La Jolla, CA","America's Best Comics ","c2004.","1845760158 (Titan : pbk.);1401200303 (America's Best Comics : pbk.)","013274701"
"Adams, Art","Tom Strong's terrific tales book 1","London","Titan","c2004.","1845760158 (Titan : pbk.);1401200303 (America's Best Comics : pbk.)","013274701"
"Adams, Art","Tom Strong's terrific tales :book 2","London","Titan,.","[2006?].","9781845761134 (pbk.);1845761138 (pbk.)","013386992"
"Adams, Art","Origins","Tunbridge Wells","Panini","2010.","9781846534645 (pbk.);184653464X (pbk.)","015619459"
"Adams, Arthur.","Past, present & future","London","Titan","1998.","1852869305 (pbk.)","012029396"
