"Title Name","Place of Publication","Publisher","Date of Publication","Physical Description","Part of Series","Number in Series","ISBN","BL Record ID"
"Akira","London","Titan","c2001.","301 p. :ill. (some col.) ;26 cm.","","","184023279X (pbk.)","005607084"
"Enemy unseen","London","Titan","2001.","[220] p. :all col. ill. ;26 cm.","Star Trek. The Next Generation","","1840233052 (pbk.)","005607086"
"Akira","London","Titan","c2001.","282 p. :ill. (some col.) ;26 cm.","","","1840233168 (pbk.)","005607087"
"The fourth man","London","Titan","2002.","144p. :col. ill. ;26cm.","","","1840233230 (pbk)","005607088"
"Autumnal","London","Titan","2001.","[88] p. :chiefly col. ill. ;26 cm.","","","1840233826 (pbk.)","005607089"
"Slaíne the King ","London","Titan Books in association with 2000 AD","2002.","ca. 150 p. :chiefly ill., 1 map ;30 cm.","","","1840234164","005607090"
"Tank Girl","London","Titan","2002.","128 p. :ill. ;26cm.","","","184023492X (pbk)","005607094"
"Tank Girl","London","Titan","2002.","80 p. :col. ill. ;26cm.","","","1840234938 (pbk)","005607095"
"Garfield classics.","Partridge Green, West Sussex","Ravette Publishing","2000.","1 v. :chiefly ill. ;18 cm.","","","1841610224","005607268"
"Garfield classics.","Partridge Green","Ravette","2001.","1 v. :chiefly ill. ;18 cm.","","","1841610895 (pbk.)","005607270"
"Garfield classics.","Partridge Green, West Sussex","Ravette Publishing","1999.","1 v. :chiefly ill. ;18 cm.","","","1853049972","005607638"
"Alice","[S.l.]","Simon Henwood","1998.","60p. :chiefly ill. ;42cm.","","","1902053028 (pbk)","005609051"
"How to draw manga","Tokyo","Graphic-sha ","2001,","124 p. :ill. ;26 cm.","","","4766111494 (pbk.)","005609483"
"How to draw manga","[London","Hi Marketing] [distributor]","2001,","124 p. :ill. ;26 cm.","","","4766111494 (pbk.)","005609483"
"Love is :cartoons from the 'Daily mail'","[London]","[Associated Newspapers]","[1977]","[80]p. :of ill. ;13cm.","","","","005609878"
"'Sunday express' & 'Daily express' cartoons","London","Beaverbrook Newspapers","1977.","[128]p. :of ill., 1port. ;20x26cm.","","","","005610193"
"The Gambols","London","Beaverbook Newspapers","1977.","[96]p. :of ill(some col) ;15x22cm.","","","","005610463"
"Love is :cartoons from the 'Daily mail'","[London]","[Associated Newspapers Group]","[1978]","[80]p. :of ill. ;13cm.","","","","005610488"
"Cartoons from the London 'Evening standard' & the 'Daily express'","London","Beaverbrook Newspapers","1977.","[96]p. :of ill. ;16x22cm.","","","","005611020"
"Love is :cartoons from the 'Daily mail'","[London]","[Associated Newspapers Group]","[1977]","[82]p. :chiefly ill. ;13cm.","","","","005611046"
"Cartoons from the London 'Evening standard' & the 'Daily express'","London","Beaverbrook Newspapers","1978.","[96]p. :of ill. ;16x22cm.","","","","005611281"
"'Sunday express' & 'Daily express' cartoons","London (Fleet St., EC4P 4JT)","Express Newspapers Ltd","1978.","[128]p. :of ill., 1port. ;20x26cm.","","","","005611351"
"Love is :cartoons from the 'Daily mail'","[London]","[Associated Newspapers Group]","[1979]","[64]p. :of ill(chiefly col) ;14cm.","","","","005611398"
"Comic cuts :newsletter of the Association of Comics Enthusiasts.","[London]","[Association of Comics Enthusiasts]","[1978]-","v. :ill., facsims. ;30 x 22 cm.","","","","005611706"
"The Gambols","London","Express Newspapers","1979.","[98]p. :of ill., some col) ;15x22cm.","","","","005612531"
"Bogor","Christchurch, N.Z. ; London","Whitcoulls","1978.","32p. :chiefly ill. ;16x24cm.","","","0723305978 (sd)","005625544"
"The gambols","London","Express Newspapers","c1981.","96p. :ill(some col.) ;15x22cm.","","","0850791162 (pbk)","005626018"
"Fosdyke saga","London","Mirror Group Books","1977.","[160]p. :of ill. ;13x22cm.","","","0859390985 (pbk)","005626884"
"Fosdyke saga","London","Mirror Group Books","1978.","[160]p. :of ill. ;14x22cm.","","","0859391396 (pbk)","005626885"
"Fosdyke saga","London","Mirror Books","1979.","[160]p. :of ill. ;14x22cm.","","","085939171X (pbk)","005626886"
"Fosdyke saga :from the famous Daily Mirror strip","London","Mirror","1980.","[159]p. :ill. ;14x22cm.","","","0859392171 (pbk)","005626887"
"The Perishers book","London","Mirror","1980.","[96]p. :chiefly ill. ;14x22cm.","","","085939235X (pbk)","005626888"
"The adventures of Luther Arkwright","London","Never","1982.","[96]p. :ill. ;28cm.","","","090786502X (pbk)","005629315"
"Calvin and Hobbes","[London]","Warner","1992.","3 v. :chiefly ill. ;18cm.","","","0747411581 (pbk : v.1);074741159X (v.2);0747411603 (v.3)","005631029"
"Dark lords of the Sith","London","Boxtree","1995.","1 v. :col.ill. ;26cm.","Star wars. Tales of the Jedi","","0752206168 (pbk)","005631660"
"Destination New York","","Mammoth","1990.","52p.","","","0416015328 (cased);0749705310 (pbk)","005637915"
"The history of the comic strip :the nineteenth century","Berkeley ; Oxford","University of California Press","c1990.","xx, 391 p. :ill. ;35 cm.","","","0520057759","005639156"
"'Sunday express' & 'Daily express' cartoons","London","Express Newspapers","c1984.","[128]p. :chiefly ill., 1port. ;20x26cm.","","","0850791383 (pbk)","005644105"
"The Gambols","London","Express Newspapers","c1984.","[96]p. :ill. ;15x21cm.","","","0850791391 (pbk)","005644106"
"Sunday express & Daily express cartoons","London","Express Newspapers","1989.","[126]p. :chiefly ill. ;20x26cm.","","","085079188X (pbk)","005644109"
"The big big Bristow book","London","Little, Brown","2001.","160p. :ill. ;23cm.","","","0316858226 (pbk)","005653224"
"Asterix the conqueror","London","Hodder Children's","1997.","84p. ;21cm.","","","034070358X (pbk.)","005653441"
"Absolutely Asterix","London","Hodder Dargaud","1998.","[204]p. :chiefly col.ill. ;30cm.","","","034072756X","005653486"
"The X-files :the TV episodes","London","Titan","1998.","144p. :all col. ill. ;26cm.","","","1840230037 (pbk)","005658624"
"Dark empire","London","Dark Horse Comics","1995.","184p. :all col. ill. ;26cm.","","","1840230983 (pbk)","005658626"
"Enemy unseen","London","Titan","2001.","224p. :all col. ill. ;26cm.","","","1840233052 (pbk)","005658634"
