"Topic-people","Subject Classification","Title","Place of Publication","Publisher","Date of Publication","ISBN","BL Record ID"
"Bowles, Thomas Gibson / 1841-1922.","741.56941","The world of Vanity fair","London","MX","2009.","9781904312536 (pbk.);1904312535 (pbk.)","015377254"
"Boyle, Susan / 1961- / Humor.","741.56","SuBo's cat :the imaginings of Susan Boyle's pampered pussy","London","HarperCollins","2010.","9780007376124;000737612X","015571660"
"Boyle, Susan / 1961- / Pictorial works.","741.56","SuBo's cat :the imaginings of Susan Boyle's pampered pussy","London","HarperCollins","2010.","9780007376124;000737612X","015571660"
"Brian / King of Ireland / 926-1014 / Comic books, strips, etc. / Fiction.","741.59417","Brian Boru :Ireland's warrior king","Dublin","O'Brien Press","2011.","9781847172846 (pbk.);1847172849 (pbk.)","015814311"
"Briggs, Raymond / Adaptations.","741.5942","The multi-media melting pot :marketing When the wind blows","London","Comedia","1986.","0906890934 (pbk);0906890926 (cased)","007442012"
"Briggs, Raymond.","741.5942","The multi-media melting pot :marketing When the wind blows","London","Comedia","1986.","0906890934 (pbk);0906890926 (cased)","007442012"
"Broadley, John / 1942- / Comic books, strips, etc.","741.5942","John Broadley's books","London","Jonathan Cape","2010.","9780224089579 (hbk.);0224089579 (hbk.)","015414704"
"Burke, William / 1792-1829 / Comic books, strips, etc. / Fiction.","741.5","Burke and Hare","Dundee","Insomnia","2009.","9781905808120 (pbk.);1905808127 (pbk.)","015474747"
"Burton, LeVar / Interviews.","741.5973","Maelstrom","London","Titan","2006.","9781845763183 (pbk.);1845763181 (pbk.)","013505190"
"Busch, Wilhelm / 1832-1908 / Translations into English.","741.5943","The genius of Wilhelm Busch :comedy of frustration : an English anthology","Berkeley, [Calif.] ; London","University of California Press","c1982.","0520038975","008748575"
"Busch, Wilhelm / 1832-1908 / Translations into English.","831.8","The genius of Wilhelm Busch :comedy of frustration : an English anthology","Berkeley, [Calif.] ; London","University of California Press","c1982.","0520038975","008748575"
"Bush, George W. / 1946- / Caricatures and cartoons.","741.5942","Apes of wrath","London","Methuen in association with The Guardian","2004.","0413774503 (cased)","012937174"
"Byrne, John / 1950-","741.5973","The art of John Byrne","Tunbridge Wells","Panini","2008.","9781846534003 (pbk.);1846534003 (pbk.)","014662794"
"Caesar, Julius / Comic books, strips, etc. / Fiction.","741.5","Julius Caesar the graphic novel :original text","Towcester","Classical","2011.","9781906332945 (pbk.);1906332940 (pbk.)","015739424"
"Caesar, Julius / Comic books, strips, etc. / Fiction.","741.5","Julius Caesar the graphic novel :plain text","Towcester","Classical","2011.","9781906332952 (pbk.);1906332959 (pbk.)","015739425"
"Caesar, Julius / Comic books, strips, etc. / Fiction.","741.5","Julius Caesar the graphic novel :quick text","Towcester","Classical","2011.","9781906332969 (pbk.);1906332967 (pbk.)","015739426"
"Caesar, Julius / Comic books, strips, etc. / Fiction.","741.5","Julius Caesar","London","Self Made Hero","2008.","9780955285653 (pbk.);0955285658 (pbk.)","014542944"
"Caesar, Julius / Comic books, strips, etc. / Juvenile fiction.","741.5","Julius Caesar","Brighton","Book House","2009.","9781906370121 (pbk.);1906370125 (pbk.)","014916461"
"Caesar, Julius / Comic books, strips, etc. / Juvenile fiction.","741.5973","Shakespeare's Julius Caesar","London","Raintree","2012.","9781406243277 (pbk.);1406243272 (pbk.)","016015306"
"Callahan, John.","741.5092","Don't worry, he won't get far on foot :an autobiography","London","Statics Books","1994, c1989.","1873922086 (pbk)","008827064"
"Calman, Mel.","741.5942","What else do you do? :some sketches from a cartoonist's life","London","Methuen","1986.","0413588408","011963825"
"Campbell, Eddie / 1955- / Interviews.","741.5941","A disease of language","London","Knockabout Comics","2005.","0861661532 (hbk.)","013415716"
"Caruso, Enrico / 1873-1921.","741.5945","Caruso's caricatures.","New York","Dover Publications [etc.] ","1977.","0486235289 (pbk)","008077233"
"Caruso, Enrico / 1873-1921.","741.5945","Caruso's caricatures.","London","Constable","1977.","0486235289 (pbk)","008077233"
"Cash, Johnny / Comic books, strips, etc. / Fiction.","741.5","Johnny Cash :I see a darkness : a graphic novel","London","SelfMadeHero","c2009.","9781906838072 (pbk.);1906838070 (pbk.)","015308322"
"Catherine / Duchess of Cambridge / 1982- / Comic books, strips, etc. / Fiction.","741.5","Kate & William :a very public love story","London","Markosia","2011.","9781905692453 (pbk.);1905692455 (pbk.)","015744227"
"Chauvel, David / Translations into English.","741.5","Arthur the legend","Tresaith","Dalen","2010.","9781906587178 (pbk.);1906587175 (pbk.)","015557573"
"Cheng, Long / 1954- / Comic books, strips, etc. / Periodicals.","741.5","Jackie Chan adventures.","London (5 Cromwell Rd, London SW7 2HR)","Eaglemoss International","2003-","","012089238"
"Churchill, Winston / 1874-1965 / Comic books, strips, etc.","741.5942","The happy warrior :the life story of Sir Winston Churchill as told through the Eagle comic of the 1950's","","","","9781906509903 (pbk.)","016650876"
"Cohl, Emile / 1857-1938.","741.5092","Emile Cohl, caricature, and film","Princeton, N.J. ; Oxford","Princeton University Press","c1990.","0691055815","011976679"
"Coulthart, John / 1962- / Illustrations.","741.5","H.P. Lovecraft's The haunter of the dark and other grotesque visions","Telford","Creation Oneiros","2006.","1902197232 (pbk.)","013512705"
"Cruikshank, George / 1792-1878 / Criticism and interpretation.","741.5092","The Comic Cruikshank","London","Bellew","1992.","1857250605","012702357"
"Cruikshank, George / 1792-1878 / Exhibitions.","741.5942","Cruikshank 200 :an exhibition to celebrate the bicentenary of George Cruikshank, born 27 September 1782, died 1 February 1878","[S.l.]","John Wardroper","1992.","0952023903","009476421"
"Cruikshank, George / 1792-1878.","741.5942","The caricatures of George Cruikshank","London","Gordon Fraser Gallery","1977.","0900406852","012020539"
"Cruikshank, George / 1792-1878.","741.5092","George Cruikshank's life, times, and art.","London","Lutterworth","1992.","0718828720","006733873"
"Cruikshank, George / 1792-1878.","741.5092","George Cruikshank's life, times and art.","Cambridge","Lutterworth","1996.","0718828747","006733874"
"Crumb, R. / Criticism and interpretation.","741.5092","Robert Crumb","Harpenden","Pocket Essentials","2005.","190404851X (pbk.)","013180827"
"Crumb, Robert / Criticism and interpretation.","741.5092","The pocket essential Robert Crumb","Harpenden","Pocket Essentials","2003.","1904048234 (pbk)","009503201"
"Crumb, Robert.","741.5973","The R. Crumb coffee table art book","London","Kitchen Sink Press","1997.","0747537747","010089827"
"Cynicus.","741.5092","The fortunes of Cynicus :Victorian cartoonist and postcard designer","Kirriemuir","Forest Lodge","c1995.","095259790X","009481765"
"D'Annunzio, Gabriele / 1863-1938 / Comic books, strips, etc. / Fiction.","741.5","Black paths","London","SelfMadeHero","2011.","9781906838331 (hbk.);190683833X (hbk.)","015768095"
"Da Yu / Emperor of China / -2197 B.C. / Comic books, strips, etc. / Juvenile fiction.","741.5","Yu the Great :conquering the flood : a Chinese legend","London","Lerner","2011.","9780761368700 (pbk.);0761368701 (pbk.)","015630113"
"Dant, Adam / Exhibitions.","741.59","Dant on drink.","Walsall","New Art Gallery","2010.","9780946652990 (pbk.);0946652996 (pbk.)","015579305"
"Dant, Adam.","741.59","Dant on drink.","Walsall","New Art Gallery","2010.","9780946652990 (pbk.);0946652996 (pbk.)","015579305"
"Darwin, Charles / 1809-1882 / Comic books, strips, etc. / Fiction.","741.5944","Death of a beast","Canterbury","Cinebook","2012.","9781849181105 (pbk.);1849181101 (pbk.)","015885365"
"Darwin, Charles / 1809-1882 / Comic books, strips, etc. / Fiction.","741.5","The eye of the celts","Canterbury","Cinebook","2011.","9781849180955 (pbk.)","015799932"
"Darwin, Charles / 1809-1882 / Comic books, strips, etc. / Fiction.","741.5944","Dual nature","","","","9781849181440 (paperback);1849181446 (paperback)","016143693"
"Daumier, Honoré, / 1808-1879.","741.50924","Daumier","Oxford","Phaidon","1981.","0714821195","008086664"
"Daumier, Honoré, / 1808-1879.","741.0924","Daumier","Oxford","Phaidon","1981.","0714821195","008086664"
"Dawson, Mike / 1975- / Comic books, strips, etc. / Fiction.","741.5","Freddie & me :a coming of age (Bohemian) rhapsody","London","Jonathan Cape","2008.","9780224081931 (hbk.);0224081934 (hbk.)","014487301"
"De Jong, Piet / 1887-1967.","741.5942","Faces of archaeology in Greece :caricatures by Piet de Jong","Oxford","Leopard's Head","1998.","0904920380","012684218"
"Decie, Joe / Comic books, strips, etc. / Fiction.","741.5941","The listening agent","","","","9781906653590 (hbk.)","016495751"
"Dighton family / Caricatures and cartoons.","741.5942","A view of Dightons :the Dighton family, their times, caricatures and portraits","London","Cartoon Museum","c2007.","9780953726325 (pbk.)","013760688"
"Dirge, Roman.","741.5973","Taxidermied :the art of Roman Dirge.","London","Titan","2011.","9781845769390 (hbk.);1845769392 (hbk.)","015846900"
"Disney, Walt / 1901-1966.","741.5973","Walt Disney's Mickey Mouse memorabilia :the vintage years, 1928-1938","London","Octopus","1986.","0810914395;0706428404","012630274"
"Disney, Walt / 1901-1966.","741.5973","Walt Disney's Donald Duck :50 years of happy frustration","London","Ebury","c1985.","0852234481 (pbk)","008792650"
"Disney, Walt / 1901-1966.","741.580973","Encyclopedia of Walt Disney's animated characters","Twickenham","Hamlyn [c1987]","","0600553388","011332126"
"Disney, Walt / 1901-1966.","741.5973","Donald Duck","London","New English Library","1980.","0450046397;0450044653","007388258"
"Disney, Walt / 1901-1966.","741.580979493","The art of Walt Disney :from Mickey Mouse to the Magic Kingdoms","London","Virgin","1999.","0753503441 (pbk.)","011351814"
"Disney, Walt / 1901-1966.","741.5973","The art of Walt Disney :from Mickey Mouse to the Magic Kingdoms","London","Virgin","1995.","1852275030","011406608"
"Donald, Chris.","741.5092","Rude kids :the unfeasible story of Viz","London","HarperCollinsEntertainment","2004.","0007190964 (cased)","012936600"
"Donald, Simon / 1964-","741.5092","Him off the Viz","Blaydon","Tonto","2010.","9781907183119 (hbk.);1907183116 (hbk.)","015660554"
"Dorman, Dave / 1958-","741.5973","Stars Wars :the art of Dave Dorman","Pittsburgh, PA","FPG ","c1996.","1887569375;1852868724 (pbk)","012029378"
"Dorman, Dave / 1958-","741.5973","Stars Wars :the art of Dave Dorman","[London","Titan Books [distributor]]","c1996.","1887569375;1852868724 (pbk)","012029378"
"Dorn, Michael / 1952- / Interviews.","741.5973","Maelstrom","London","Titan","2006.","9781845763183 (pbk.);1845763181 (pbk.)","013505190"
"Dreller, Larry. / Interviews.","741.5973","The Dark Horse book of hauntings :eight uncanny tales of spirit manifestations, apparitions and otherworldly horrors, told in words and pictures : also, séance medium L.L. Dreller orates upon his occult gift : peculiar stories from beyond ","Milwaukie, Ore.","Dark Horse Comics ","2003.","1569719586","012276420"
"Dreller, Larry. / Interviews.","741.5973","The Dark Horse book of hauntings :eight uncanny tales of spirit manifestations, apparitions and otherworldly horrors, told in words and pictures : also, séance medium L.L. Dreller orates upon his occult gift : peculiar stories from beyond ","[London","Titan Books] [distributor]","2003.","1569719586","012276420"
"East, Oliver / Travel / England / Comic books, strips, etc.","741.5942","Proper go well high :a trains are- mint book","London","Blank Slate","2008.","9781906653026 (hbk.)","015339388"
"East, Oliver / Travel / Norway.","741.5","Swear Down","London","Blank Slate","2011.","9781906653132 (hbk.);1906653135 (hbk.)","015781783"
"Eliot, T. S. / 1888-1965. / Parodies, imitations, etc.","741.5942","The waste land","","","","9780857420411 (paperback);0857420410 (paperback)","016035319"
"Elizabeth / II / Queen of Great Britain / 1926- / Caricatures and cartoons.","741.5942","'We are amused' :the cartoonist's view of royalty","London","Bodley Head","1978.","0370301390","011328045"
"Ellis, Karen M.","741.5942","Planet Karen.","London","Soaring Penguin","2009.","9780955287152 (pbk.);0955287154 (pbk.)","015418522"
"Emett, Rowland / 1906-","741.5942","Rowland Emett :from 'Punch' to 'Chitty chitty bang bang' and beyond.","London","Beetles","1988.","","011816786"
"Eminem / (Musician) / Comic books, strips, etc. / Fiction.","741.5","Eminem :in my skin.","London","Omnibus","c2004.","9781844494880 (pbk.);1844494888 (pbk.)","012968474"
"Eve / (Biblical figure) / Caricatures and cartoons.","741.5","Paradise is lost","Claremont ; [Great Britain]","Spearhead","2001.","086486485X (pbk.)","010355620"
"Feng, Zikai / 1898-1975.","741.50924","The Cartoonist Feng Zikai :social realism with a Buddhist face","Oslo","Universitetsforlaget ","c1984.","8200066509","009526324"
"Feng, Zikai / 1898-1975.","741.50924","The Cartoonist Feng Zikai :social realism with a Buddhist face","London","Global Book Resources [distributor]","c1984.","8200066509","009526324"
"Ffolkes, Michael / Exhibitions.","741.5942","A mixture of gin and buttercups :a retrospective exhibition of the cartoons and caricatures of Michael ffolkes at The Cartoon Art Trust Museum : 4 September - 1 November 2003.","London","Cartoon Art Trust Museum","[2003?].","","013109398"
"Finlay, Ian Hamilton.","741.5942","The Wild Hawthorn wonder book of boats","Dunsyre (Stonypath, Dunsyre, Lanark)","Wild Hawthorn Press","[1975]","0900805498 (sd)","012022564"
"Forney, Ellen / Comic books, strips, etc.","741.5973","Marbles :mania, depression, Michelangelo, & me","","","","9781472106896 (paperback)","016329010"
"Freud, Sigmund / 1856-1939 / Caricatures and cartoons.","741.5942","Sigmund Freud","New York ; London","Paddington Press","1979.","0448229803;0709207336","012647667"
"Freud, Sigmund / 1856-1939 / Caricatures and cartoons.","828.91408","Sigmund Freud","New York ; London","Paddington Press","1979.","0448229803;0709207336","012647667"
"Freud, Sigmund / 1856-1939 / Caricatures and cartoons.","828.91407","Sigmund Freud","New York ; London","Paddington Press","1979.","0448229803;0709207336","012647667"
"Freud, Sigmund / 1856-1939.","741.5942","Sigmund Freud","Harmondsworth","Penguin","1982, c1979.","0140056238 (pbk)","011305851"
"Freud, Sigmund / 1856-1939.","828.91408","Sigmund Freud","Harmondsworth","Penguin","1982, c1979.","0140056238 (pbk)","011305851"
"Freud, Sigmund / 1856-1939.","828.91407","Sigmund Freud","Harmondsworth","Penguin","1982, c1979.","0140056238 (pbk)","011305851"
"Friers, Rowel.","741.5942","Riotous living :a book of cartoons","Belfast (84 Wandsworth Rd, Belfast BT4 3LW)","Blackstaff Press Ltd","1971.","0856400009","011595762"
"Friers, Rowel.","741.5092","Drawn from life :an autobiography","Belfast","Blackstaff Press","1994.","0856405396 (pbk)","009461298"
"Gaiman, Neil / Stories, plots, etc.","741.5973","The Sandman companion","London","Titan","2000.","1840231505 (cased);1840231645 (pbk.)","010761602"
"Gaiman, Neil / Stories, plots, etc.","741.5973","The Sandman companion","London","Titan","2000.","1840231645 (pbk)","012286244"
"Gaiman, Neil.","741.5973","The Sandman companion","London","Titan","2000.","1840231505 (cased);1840231645 (pbk.)","010761602"
"Gaiman, Neil.","741.5973","The Sandman companion","London","Titan","2000.","1840231645 (pbk)","012286244"
"Gaiman, Neil.","741.5973","The sandman :king of dreams","London","Titan","2003.","1840236531","010761853"
"Garland, Nicholas / Interviews.","741.5092","Lethal humour :Nick Garland, Barry Humphries and the adventures of Barry McKenzie","London","Menzies Centre for Australian Studies, King's College London","2003.","1855071266 (pbk)","007729538"
"Gautama Buddha / Comic books, strips, etc. / Fiction.","741.53510952","Buddha","London","HarperCollins","2006.","9780007224517 (v. 1 : pbk.);0007224516 (v. 1 : pbk.);9780007224524 (v. 2 : pbk.);0007224524 (v. 2 : pbk.);9780007224531 (v. 3 : pbk.);0007224532 (v. 3 : pbk.);9780007224548 (v. 4 : pbk.);0007224540 (v. 4 : pbk.);9780007224555 (v. 5 : pbk.);0007224559 (v. 5 : pbk.);9780007224562 (v. 6 : pbk.);0007224567 (v. 6 : pbk.);9780007224579 (v. 7 : pb","013385818"
"Giles / Cartoons / Bibliography.","741.5092016","A Giles bibliography","Bournemouth,","Jim Allinson","1990.","","013458171"
"Giles / Cartoons.","741.5","Giles Daily Express and Sunday Express cartoons :fifty fifth series","Exeter","Pedigree","2002, c2001.","1902836634 (pbk.)","013091039"
"Giles family / Caricatures and cartoons.","741.56942","Giles :the collection 2013","London","Hamlyn","2012.","9780600624554 (pbk.);0600624552 (pbk.)","016086312"
"Giles.","741.56941","Giles :one of the family.","Canterbury","British Cartoon Archive, University of Kent","c2008.","9781902671628 (pbk.)","015289647"
"Giles.","741.5942","Giles :fifty years at work","London","British Council","c1994.","0863552501 (pbk)","010749332"
"Giles.","741.50941","Giles: a life in cartoons :the authorised biography of Britain's leading cartoonist","London","Headline","1992.","0747206783","010083598"
"Giles.","741.5909","Giles at war","London","Headline","1994.","0747210411;0747278563 (pbk)","010083883"
"Giles.","741.5092","The ultimate Giles","London","Headline","1995.","0747215928","010084309"
"Giles.","741.50941","Giles :a life in cartoons : the authorised biography of Britain's leading cartoonist","London","Headline","1992","0747278865 (pbk)","008423633"
"Gillray, James / 1756-1815 / Criticism and interpretation.","741.5","Gillray observed :the earliest account of his caricatures in London und Paris","Cambridge","Cambridge University Press","1999.","0521580757","009411822"
"Gillray, James / 1756-1815 / Exhibitions.","741.5942","James Gillray :the art of caricature","London","Tate Publishing","2001.","1854373641","012044616"
"Gillray, James / 1756-1815 / Exhibitions.","741.5942","James Gillray :the caricaturist 1756-1815 : a touring exhibition","[London]","[British Museum, Department of Prints and Drawings]","1985.","","011808927"
"Gillray, James / 1756-1815.","741.5942","The satirical etchings of James Gillray","New York","Dover Publications [etc.] ","1976.","0486233405 (pbk)","008077098"
"Gillray, James / 1756-1815.","741.5942","The satirical etchings of James Gillray","London","Constable","1976.","0486233405 (pbk)","008077098"
"Goscinny / 1926-1977 / Appreciation.","741.50944","Masters of the ninth art :bandes dessinées and Franco-Belgian identity ","Liverpool","Liverpool University Press","2005.","085323938X (hbk.)","013052956"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix omnibus.","London","Orion Children's","2013.","9781444008357 (hbk.)","016219635"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix and Obelix's birthday :the golden book","London","Orion Children's","2010.","9781444000955 (pbk.);1444000950 (pbk.)","015572569"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Absolutely Asterix","London","Hodder Dargaud","1998.","034072756X","005653486"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix omnibus.","","","","9781444004915 (pbk.)","016280477"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix omnibus.","London","Orion Children's Books","2012.","9781444004885 (cased);1444004883 (cased)","016039509"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix omnibus 4 :Asterix the legionary, Asterix and the chieftain's shield, Asterix at the Olympic Games","London","Orion Children's","2012.","9781444004878 (pbk.);1444004875 (pbk.)","016044966"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix omnibus","London","Orion","2008.","9781409101321 (cased);1409101320 (cased);9781409101338 (pbk.);1409101339 (pbk.)","014652105"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix omnibus.","London","Orion Children's Books","2012.","9781444004892 (cased);1444004891 (cased)","016072842"
"Goscinny / 1926-1977 / Translations into English.","741.5944","Asterix omnibus.","London","Orion Children's Books","2011.","9781444004274 (cased);1444004271 (cased)","015860474"
