"Topic-place","Subject Classification","Title","Place of Publication","Publisher","Date of Publication","ISBN","BL Record ID"
"Egypt / History / Nineteenth dynasty, ca. 1320-1200 B.C. / Comic books, strips, etc. / Juvenile fiction.","741.5","Tutankhamun :the assassinated pharaoh","Canterbury","Cinebook","2009.","9781905460847 (pbk.);1905460848 (pbk.)","014878240"
"Egypt / History / To 322 B.C. / Comic books, strips, etc. / Juvenile fiction.","741.5941","Ancient Egypt :tales of gods and pharaohs","London","Walker","2011.","9781406326680 (hbk.);1406326682 (hbk.)","015720547"
"Egypt / History / To 322 B.C. / Comic books, strips, etc. / Juvenile fiction.","741.5941","Ancient Egypt :tales of gods and pharaohs","London","Walker","2012.","9781406338324 (pbk.);140633832X (pbk.)","016015323"
"England / Biography / Portraits / Caricatures and cartoons.","741.5942","In 'Vanity fair'","London","Scolar","1982.","0520043006 (U.S.);0859675971","009467999"
"England / Comic books, strips, etc. / Fiction.","741.5942","Violent cases","London","Titan","1998.","1852869593 (pbk)","012029411"
"England / Description and travel / Caricatures and cartoons.","741.53242","Terribly English :a guide for curious natives and baffled visitors","","","","9780285640924 (paperback)","016097961"
"England / Description and travel / Humor.","741.53242","Terribly English :a guide for curious natives and baffled visitors","","","","9780285640924 (paperback)","016097961"
"England / Rural conditions / Caricatures and cartoons.","741.5942","Thelwell country","London","Methuen","2006.","9780413776181 (hbk.);0413776182 (hbk.)","013511678"
"England / Social conditions / 19th century / Comic books, strips, etc. / Juvenile fiction.","741.5","Great expectations","","","","9781783220151 (pbk.)","016429830"
"England / Social conditions / 19th century / Comic books, strips, etc. / Juvenile fiction.","741.5","Great expectations","London","Evans","2009.","9780237536220 (pbk.);0237536226 (pbk.)","014883346"
"England / Social conditions / 19th century / Comic books, strips, etc. / Juvenile fiction.","741.5","Great expectations :the graphic novel","Towcester","Classical","c2009.","9781906332099 (pbk.);1906332096 (pbk.)","014576115"
"England / Social conditions / 19th century / Comic books, strips, etc. / Juvenile fiction.","741.5","Great expectations :the graphic novel","Towcester","Classical","c2009.","9781906332112 (pbk.);1906332118 (pbk.)","014576116"
"England / Social conditions / Comic books, strips, etc. / Juvenile fiction.","741.5","Great expectations","","","","9781783221233 (pbk.)","016552221"
"England / Social conditions / Comic books, strips, etc. / Juvenile fiction.","741.5","Great expectations","Thatcham","Classic Comic Store","c2010.","9781906814434 (pbk.);1906814430 (pbk.)","015660545"
"England / Social conditions / Comic books, strips, etc. / Juvenile fiction.","741.5","Great expectations","Brighton","Book House","2012.","9781906714765 (pbk.);1906714762 (pbk.)","015800047"
"England / Social life and customs / 19th century / Comic books, strips, etc. / Juvenile fiction.","741.5","A Christmas carol","London","Evans","2010.","9780237541422 (pbk.);0237541424 (pbk.)","015447905"
"England / Social life and customs / 19th century / Comic books, strips, etc. / Juvenile fiction.","741.5","David Copperfield","London","Evans","2011.","9780237541798 (pbk.);0237541793 (pbk.)","015447906"
"England / Social life and customs / 19th century / Comic books, strips, etc. / Juvenile fiction.","741.5","David Copperfield","","","","9781783220120 (pbk.)","016429827"
"England / Social life and customs / 19th century / Comic books, strips, etc. / Juvenile fiction.","741.5","A Christmas carol","","","","9781783220137 (pbk.)","016429828"
"England / Social life and customs / 19th century / Comic books, strips, etc. / Juvenile fiction.","741.5","Pride and prejudice","","","","9781783221219 (pbk.)","016552219"
"England / Social life and customs / 19th century / Juvenile fiction.","741.5941","Pride and prejudice","London","Evans","c2004.","0237525801 (pbk.)","006930401"
"England / Social life and customs / 21st century / Caricatures and cartoons.","741.5941","Modern times.","London","Orion","2003.","0752858416 (pbk)","008389216"
"England / Social life and customs / Caricatures and cartoons.","741.5942","Thelwell's book of leisure","London","Methuen","2006.","9780413776174 (hbk.);0413776174 (hbk.)","013511677"
"England / Social life and customs / Caricatures and cartoons.","741.5942","Thelwell country","London","Methuen","2006.","9780413776181 (hbk.);0413776182 (hbk.)","013511678"
"England / Social life and customs / Caricatures and cartoons.","741.5942","Jak :his life and work.","London","Solo published for Associated Newspapers","1997.","1873939108 (cased);1873939051 (pbk)","008827249"
"England / Social life and customs / Comic books, strips, etc. / Fiction.","741.5942","Pride and prejudice","London","SelfMadeHero","2011.","9781906838300 (pbk.);1906838305 (pbk.)","015734846"
"England / Social life and customs / Comic books, strips, etc. / Fiction.","741.5","The importance of being earnest the graphic novel :original text","Towcester","Classical","2011.","9781906332921 (pbk.);1906332924 (pbk.)","015739422"
"England / Social life and customs / Comic books, strips, etc. / Fiction.","741.5","The life and opinions of Tristram Shandy, gentleman","London","SelfMadeHero","2010.","9781906838133;1906838135","015469045"
"England / Social life and customs / Comic books, strips, etc. / Fiction.","741.5","The importance of being earnest the graphic novel :quick text","Towcester","Classical","2011.","9781906332938 (pbk.);1906332932 (pbk.)","015739423"
"England / Social life and customs / Comic books, strips, etc. / Juvenile fiction.","741.5","Jane Eyre :the graphic novel : original text version","Towcester","Classical Comics","c2008.","9781906332068 (pbk.);1906332061 (pbk.)","014531567"
"England / Social life and customs / Comic books, strips, etc. / Juvenile fiction.","741.5","Jane Eyre :the graphic novel : quick text version","Towcester","Classical Comics","c2008.","9781906332082 (pbk.);1906332088 (pbk.)","014531568"
"England / Social life and customs / Comic books, strips, etc. / Juvenile fiction.","741.5","Jane Eyre","Brighton","Book House","2009.","9781906370114 (pbk.);1906370117 (pbk.)","014916460"
"England / Social life and customs / Comic books, strips, etc. / Juvenile fiction.","741.5","David Copperfield :Charles Dickens","Brighton","Book House","2012.","9781906714772 (pbk.);1906714770 (pbk.)","015800048"
"England, North East / History / 20th century / Caricatures and cartoons.","741.5942","A cartoonist's chronicle","Newcastle upon Tyne","Tyne Bridge Pub.","2010.","9781857952018 (pbk.)","015688530"
"France / Colonies.","741.5944","The colonial heritage of French comics","Liverpool","Liverpool University Press","2011.","9781846316425 (hbk.);1846316421 (hbk.)","015696319"
"France / Fiction.","741.5","Raoul Taburin keeps a secret","London","Phaidon","c2010.","9780714849799 (hbk.);0714849790 (hbk.)","015660426"
"France / History / Charles VII, 1422-1461 / Comic books, strips, etc. / Juvenile fiction.","741.5","Messenger :the legend of Joan of Arc","","","","9781406336153 (pbk.)","016643617"
"France / History / Louis XIII, 1610-1643 / Comic books, strips, etc. / Juvenile fiction.","741.5","The Three Musketeers","Brighton","Book House","2008.","9781905638734 (pbk.);1905638736 (pbk.)","014602422"
"France / History / Louis XIV, 1643-1715 / Comic books, strips, etc. / Juvenile fiction.","741.5","The man in the iron mask","Brighton","Book House","2007.","9781905638536 (pbk.);1905638531 (pbk.)","013741643"
"France / History / Medieval period, 987-1515 / Comic books, strips, etc. / Juvenile fiction.","741.5973","Disney's the Hunchback of Notre Dame.","Partridge Green","Ravette","1996.","1853048860 (pbk)","012030841"
"France / History / Medieval period, 987-1515 / Comic books, strips, etc. / Juvenile fiction.","741.5973","Disney, Crotaire Notre Dame.","Loughborough","Ladybird","1996.","1899877126","009489389"
"France / History / Revolution, 1789-1799 / Comic books, strips, etc. / Fiction.","741.5","A tale of two cities","London","SelfMadeHero","2010.","9781906838102 (pbk.);1906838100 (pbk.)","015551667"
"France / History / Revolution, 1789-1799 / Comic books, strips, etc. / Juvenile fiction.","741.5","A tale of two cities","Brighton","Book House","2008.","9781906370060 (pbk.);1906370060 (pbk.)","014675259"
"Fulham (London, England)","741.50830942133","Vanston Place :the secret adventures","","","","9781901155235 (paperback)","013821841"
"Gaul / History / To 58 B.C. / Comic books, strips, etc.","741.5944","Astérix and the actress ","London","Orion","2001.","0752846582","010734357"
"Gaul / Juvenile fiction.","741.5944","Asterix the champion","London","Hodder Dargaud","1996.","0340677996 (pbk)","006724919"
"Gaul / Pictorial works / Juvenile fiction.","741.5944","Asterix forever","London","Hodder Children's","1996.","0340665009","011314529"
"Germany (East) / Comic books, strips, etc. / Fiction.","741.5943","Home and away","London","Blank Slate","2011.","9781906653224 (pbk.);1906653224 (pbk.)","015790705"
"Germany / Comic books, strips, etc. / Fiction.","741.5","Love looks away","London","Blank Slate","2011.","9781906653187 (pbk.);1906653186 (pbk.)","015795220"
"Germany / Social conditions / 20th century / Comic books, strips, etc. / Fiction.","741.5","One model nation","","","","9780857687272 (pbk.)","016558332"
"Germany / Social life and customs / 20th century / Comic books, strips, etc.","741.5973","One model nation","London","Titan Books","2012.","9780857687265 (hbk.);0857687263 (hbk.)","015964394"
"Great Britain / Civilization / 1945- / Caricatures and cartoons.","741.5942","Drawing blood :forty-five years of Scarfe uncensored","London","Little, Brown","2005.","0316729523","013278915"
"Great Britain / Foreign relations / 1945-.","327.41073","A special relationship","London","Faber","1987.","0571149928 (pbk)","010069928"
"Great Britain / Foreign relations / 1945-.","327.73041","A special relationship","London","Faber","1987.","0571149928 (pbk)","010069928"
"Great Britain / Foreign relations / 1945-.","741.5942","A special relationship","London","Faber","1987.","0571149928 (pbk)","010069928"
"Great Britain / Foreign relations / United States.","327.41073","A special relationship","London","Faber","1987.","0571149928 (pbk)","010069928"
"Great Britain / Foreign relations / United States.","327.73041","A special relationship","London","Faber","1987.","0571149928 (pbk)","010069928"
"Great Britain / Foreign relations / United States.","741.5942","A special relationship","London","Faber","1987.","0571149928 (pbk)","010069928"
"Great Britain / History / 1964- / Anecdotes, facetiae, satire.","741.5942","That'll Be The Day.","London","IPC Magazines","1975-","","010556035"
"Great Britain / History / 20th century / Caricatures and cartoons.","741.5942","50 people who buggered up Britain","London","Constable","2008.","9781845298555 (cased);1845298551 (cased)","014641620"
"Great Britain / History / Caricatures and cartoons.","741.5942","The Cartoon history of Britain","London","Tom Stacey","1971.","0854680780","009454936"
"Great Britain / History / Caricatures and cartoons.","741.56941","Rude Britannia :British comic art","London","Tate Pub.","2010.","9781854378866 (pbk.);1854378864 (pbk.)","015495144"
"Great Britain / History / Elizabeth II, 1952- / Humor.","741.5942","Giles collection 2012.","London","Hamlyn","2011.","9780600622284 (pbk.);0600622282 (pbk.)","015808852"
"Great Britain / History / Elizabeth II, 1952- / Humor.","741.5942","Giles collection 2007","London","Express Newspapers","2006.","9780850793192 (pbk.);085079319X (pbk.)","013490311"
"Great Britain / History / Elizabeth II, 1952- / Humor.","741.5942","Giles :the collection 2011.","London","Hamlyn","2010.","9780600621195 (pbk.);0600621197 (pbk.)","015583594"
"Great Britain / History / Elizabeth II, 1952- / Humor.","741.5942","Giles collection 2010.","London","Hamlyn","2009.","9780600620464 (pbk.);0600620468 (pbk.)","015291691"
"Great Britain / History / Elizabeth II, 1952- / Humor.","741.56941","The history of the world according to Giles :50 years of headlines as seen by the 20th century's greatest cartoonist","London","Hamlyn","2010.","9780600621133;0600621138","015473550"
"Great Britain / History / Elizabeth II, 1952- / Humor.","741.5942","Giles collection 2008.","London","Daily Express","2008.","9780850793406 (pbk.);0850793408 (pbk.)","014634370"
"Great Britain / History / George III, 1760-1820 / Comic books, strips, etc. / Fiction.","741.5","Lady Constantine","[London]","[Titan]","c2006.","1401209424 (DC Comics : pbk.);9781845762636 (pbk.);1845762630 (pbk.)","013387001"
"Great Britain / History / Henry V, 1413-1422 / Comic books, strips, etc. / Juvenile fiction.","741.5","Henry V :the graphic novel : original text version","Towcester","Classical Comics","c2007.","9781906332006 (pbk.);1906332002 (pbk.)","013829556"
"Great Britain / History / Henry V, 1413-1422 / Comic books, strips, etc. / Juvenile fiction.","741.5","Henry V :the graphic novel : plain text version","Towcester","Classical Comics","2007.","9781906332013 (pbk.);1906332010 (pbk.)","013829557"
"Great Britain / History / Henry V, 1413-1422 / Comic books, strips, etc. / Juvenile fiction.","741.5","Henry V :the graphic novel : quick text version","Towcester","Classical Comics","2007.","9781906332020 (pbk.);1906332029 (pbk.)","013829558"
"Great Britain / History / Henry VIII, 1509-1547 / Comic books, strips, etc. / Juvenile fiction.","741.5942","Henry VIII","London","SelfMadeHero in association with Historic Royal Palaces","2009.","9781906838027 (pbk.);190683802X (pbk.)","014884083"
"Great Britain / History / Richard III, 1483-1485 / Comic books, strips, etc. / Fiction.","741.5","Richard III :the graphic novel","Towcester","Classical","2009.","9781906332228 (pbk.);1906332223 (pbk.)","014800637"
"Great Britain / History / Richard III, 1483-1485 / Comic books, strips, etc. / Fiction.","741.5","Richard III :the graphic novel","Towcester","Classical","2009.","9781906332235 (pbk.);1906332231 (pbk.)","014800638"
"Great Britain / History / Richard III, 1483-1485 / Comic books, strips, etc. / Fiction.","741.5","Richard III :the graphic novel","Towcester","Classical","2009.","9781906332242 (pbk.);190633224X (pbk.)","014800639"
"Great Britain / History / Richard III, 1483-1485 / Comic books, strips, etc. / Fiction.","741.5","Richard III","London","Self Made Hero","2007.","9780955285639 (pbk.);0955285631 (pbk.)","013773034"
"Great Britain / History / Victoria, 1837-1901 / Comic books, strips, etc. / Fiction.","741.5973","Gotham by gaslight :a tale of the Batman","[London]","[Titan]","[2006]","9781845764036 (pbk.);184576403X (pbk.);9781401211530 (DC Comics : pbk.);1401211534 (DC Comics : pbk.)","013527607"
"Great Britain / History, Military / 1789-1820.","741.5942","Cartoonists at war","[London]","Windward","c1981.","0711202214","007399027"
"Great Britain / History, Military / 19th century.","741.5942","Cartoonists at war","[London]","Windward","c1981.","0711202214","007399027"
"Great Britain / History, Military / 20th century / Caricatures and cartoons.","741.56941","Giles's fighting forces","London","Express Newspapers","2008.","9780850793598 (hbk.);0850793599 (hbk.)","014697245"
"Great Britain / History, Military / 20th century.","741.5942","Cartoonists at war","[London]","Windward","c1981.","0711202214","007399027"
"Great Britain / Kings and rulers / Caricatures and cartoons.","741.5942","One's life :a cartoon biography of HRH The Prince of Wales","London","Joseph","1988.","0718131770 (pbk)","008098188"
"Great Britain / Kings and rulers / Caricatures and cartoons.","741.5941","101 uses for the royal family","Chichester","Summersdale","c2002.","1840242310 (pbk.)","010762022"
"Great Britain / Kings and rulers / Caricatures and cartoons.","741.5942","Court jesting :highlights from the Queen's life through the eyes of her cartoonists","London","Robson","1986.","0860513858 (pbk);086051384X (cased)","010108846"
"Great Britain / Kings and rulers / Caricatures and cartoons.","741.5942","99 things a queen would (probably] never do","London","W.H. Allen","1987.","0352321296 (pbk)","011322320"
"Great Britain / Kings and rulers / Caricatures and cartoons.","741.5942","The beasting of a little boy : Britains shame :allegedly","[Lochawe Village]","[Colloseum Book Writing]","[2000?]","","009907230"
"Great Britain / Kings and rulers / Comic books, strips, etc. / Fiction.","741.5","Richard III :the graphic novel","Towcester","Classical","2009.","9781906332228 (pbk.);1906332223 (pbk.)","014800637"
"Great Britain / Kings and rulers / Comic books, strips, etc. / Fiction.","741.5","Richard III :the graphic novel","Towcester","Classical","2009.","9781906332235 (pbk.);1906332231 (pbk.)","014800638"
"Great Britain / Kings and rulers / Comic books, strips, etc. / Fiction.","741.5","Richard III :the graphic novel","Towcester","Classical","2009.","9781906332242 (pbk.);190633224X (pbk.)","014800639"
"Great Britain / Kings and rulers / Comic books, strips, etc. / Fiction.","741.5","Richard III","London","Self Made Hero","2007.","9780955285639 (pbk.);0955285631 (pbk.)","013773034"
"Great Britain / Politics and government / 1714-1837.","741.5942","Kings, lords and wicked libellers :satire and protest, 1760-1837","London","J. Murray","1973.","0719529123","010330901"
"Great Britain / Politics and government / 1714-1837.","827.6093","Kings, lords and wicked libellers :satire and protest, 1760-1837","London","J. Murray","1973.","0719529123","010330901"
"Great Britain / Politics and government / 1789-1820 / Caricatures and cartoons.","741.5942","Richard Newton and English caricature in the 1790s","Manchester","Whitworth Art Gallery in association with Manchester University Press","c1998.","0719054796 (cased);071905480X (pbk)","008765486"
"Great Britain / Politics and government / 1910-1936 / Caricatures and cartoons.","741.5942","Communist cartoons :cartoons from The communist 1921-22","London","James Klugman Pictorials","1982.","0946114005 (pbk)","008130347"
"Great Britain / Politics and government / 1910-1936 / Caricatures and cartoons.","741.5942","The Complete Colonel Blimp","London","Bellew","1991.","0947792848 (pbk)","008138943"
"Great Britain / Politics and government / 1936-1945 / Caricatures and cartoons.","741.5942","The Complete Colonel Blimp","London","Bellew","1991.","0947792848 (pbk)","008138943"
"Great Britain / Politics and government / 1945- / Caricatures and cartoons.","741.5942","Drawing blood :forty-five years of Scarfe uncensored","London","Little, Brown","2005.","0316729523","013278915"
"Great Britain / Politics and government / 1945-1964 / Caricatures and cartoons / Exhibitions.","741.5942","Getting them in line :an exhibition ... to mark the inauguration of the Centre for the Study of Cartoons and Caricature.","Canterbury","Centre for the Study of Cartoons and Caricature, University of Kent at Canterbury","1975.","","009920708"
"Great Britain / Politics and government / 1964- / Anecdotes, facetiae, satire.","741.5942","That'll Be The Day.","London","IPC Magazines","1975-","","010556035"
"Great Britain / Politics and government / 1964-1979 / Caricatures and cartoons / Exhibitions.","741.5942","Getting them in line :an exhibition ... to mark the inauguration of the Centre for the Study of Cartoons and Caricature.","Canterbury","Centre for the Study of Cartoons and Caricature, University of Kent at Canterbury","1975.","","009920708"
"Great Britain / Politics and government / 1964-1979 / Caricatures and cartoons.","741.5942","Gerald Scarfe.","London","Thames and Hudson","c1982.","0500272689 (pbk)","008745855"
"Great Britain / Politics and government / 1979-1997 / Caricatures and cartoons.","741.5942","Maggie's farm","Harmondsworth","Penguin","1981.","0140060782 (pbk)","011306070"
"Great Britain / Politics and government / 1979-1997 / Caricatures and cartoons.","741.5942","Jak :his life and work.","London","Solo published for Associated Newspapers","1997.","1873939108 (cased);1873939051 (pbk)","008827249"
"Great Britain / Politics and government / 1979-1997 / Caricatures and cartoons.","741.5942","Tribal politics","London","Palmano Bennett","1999.","0861661397 (pbk.)","010120013"
"Great Britain / Politics and government / 1979-1997 / Caricatures and cartoons.","741.5941","The best of Matt.","London","Orion","[198-?]-","","007243252"
"Great Britain / Politics and government / 1979-1997 / Caricatures and cartoons.","741.5942","Tom Johnston's year ... :cartoons from the News of the World and the Sun.","London","Orion Books","1995-","","007243318"
